"","Name","Subtitle","Acceleration(sec)","TopSpeed(km/h)","Range(km)","Efficiency(Wh/km)","FastChargeSpeed(km/h)","Drive","NumberofSeats","PriceinGermany(â,¬)","PriceinUK(Â£)"
"77","Citroen e-C4 ","Battery Electric Vehicle |       45 kWh ",9.7,150,250,180,330,"Front Wheel Drive",5,NA,30895
"78","Jaguar I-Pace EV400","Battery Electric Vehicle |       84.7 kWh",4.8,200,365,232,340,"All Wheel Drive",5,NA,65195
"79","Kia e-Soul 64 kWh","Battery Electric Vehicle |       64 kWh",7.9,167,370,173,350,"Front Wheel Drive",5,NA,NA
"80","Kia e-Soul 39 kWh","Battery Electric Vehicle |       39.2 kWh",9.9,157,230,170,220,"Front Wheel Drive",5,NA,NA
"81","Audi Q4 Sportback e-tron 35","Battery Electric Vehicle |       51.5 kWh",9,160,295,175,410,"Rear Wheel Drive",5,NA,42250
"82","Nissan Ariya 63kWh","Battery Electric Vehicle |       63 kWh",7.5,160,335,188,450,"Front Wheel Drive",5,NA,40000
"83","Nissan Ariya 87kWh","Battery Electric Vehicle |       87 kWh",7.6,160,445,196,530,"Front Wheel Drive",5,NA,45000
"84","Nissan Ariya e-4ORCE 63kWh","Battery Electric Vehicle |       63 kWh",5.9,200,325,194,440,"All Wheel Drive",5,NA,45000
"85","Nissan Ariya e-4ORCE 87kWh","Battery Electric Vehicle |       87 kWh",5.7,200,420,207,500,"All Wheel Drive",5,NA,52500
"86","Nissan Ariya e-4ORCE 87kWh Performance","Battery Electric Vehicle |       87 kWh",5.1,200,385,226,460,"All Wheel Drive",5,NA,57500
"87","Volkswagen ID.3 Pro Performance","Battery Electric Vehicle |       58 kWh",7.3,160,350,166,440,"Rear Wheel Drive",5,NA,29740
"88","MG MG5 EV","Battery Electric Vehicle |       48.8 kWh",7.7,185,295,165,340,"Front Wheel Drive",5,NA,25095
"89","Volkswagen ID.4 Pro Performance","Battery Electric Vehicle |       77 kWh",8.5,160,410,188,500,"Rear Wheel Drive",5,NA,41570
"90","Mercedes EQV 300 Extra-Long","Battery Electric Vehicle |       90 kWh",12.1,160,320,281,280,"Front Wheel Drive",7,NA,NA
"91","Lucid Air Grand Touring","Battery Electric Vehicle |       110 kWh ",3.2,270,660,167,1380,"All Wheel Drive",5,NA,125000
"92","Lucid Air Touring","Battery Electric Vehicle |       85 kWh ",3.4,250,530,160,1390,"All Wheel Drive",5,NA,90000
"93","Lucid Air Pure","Battery Electric Vehicle |       85 kWh ",4.2,200,540,157,1410,"Rear Wheel Drive",5,NA,70000
"94","Dacia Spring Electric","Battery Electric Vehicle |       26.8 kWh ",15,125,170,158,120,"Front Wheel Drive",4,NA,NA
"95","Tesla Model 3 Standard Range Plus LFP","Battery Electric Vehicle |       51 kWh ",5.6,225,340,150,570,"Rear Wheel Drive",5,NA,40990
